"indicator","reportyear","FIPS","County_Name","County_FIPS","treecanopy_n","treecanopy_d","treecanopy_pct","treecanopy_se_pct","treecanopy_rse","treecanopy_pctile","source","version","notes"
"Population-weighted percentage of the census tract area with tree canopy",2011,6001402200,"Alameda",6001,NA,NA,4.0988084,2.0371854,49.7018923,34.2871808,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001402400,"Alameda",6001,NA,NA,5.4012925,2.8589774,52.9313573,53.24008726,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001402500,"Alameda",6001,NA,NA,4.7047251,4.1008225,87.1639135,45.0019248,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001402700,"Alameda",6001,NA,NA,4.6255809,2.0958925,45.310903,43.71872193,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001402800,"Alameda",6001,NA,NA,2.4068557,1.9916176,82.7476948,7.596561016,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403000,"Alameda",6001,NA,NA,2.4757543,2.3459868,94.7584637,8.097010137,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403100,"Alameda",6001,NA,NA,3.3604835,3.923146,116.7434977,19.92814064,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403300,"Alameda",6001,NA,NA,2.8547557,2.1674567,75.9244208,11.95945079,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403400,"Alameda",6001,NA,NA,4.2647192,3.452507,80.9550842,37.25137944,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403501,"Alameda",6001,NA,NA,9.1908064,3.6123969,39.3044611,76.9665084,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403502,"Alameda",6001,NA,NA,6.9712103,5.1518163,73.9013192,66.08494803,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403600,"Alameda",6001,NA,NA,6.6228581,3.5721632,53.9368825,63.73668677,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403701,"Alameda",6001,NA,NA,5.1599911,4.0906208,79.2757347,50.72500962,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403702,"Alameda",6001,NA,NA,5.6404547,3.5376563,62.7193455,55.49852432,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403800,"Alameda",6001,NA,NA,11.8444337,2.6742868,22.5784266,83.94713204,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001403900,"Alameda",6001,NA,NA,11.2927365,4.1995965,37.1884754,82.7665854,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404000,"Alameda",6001,NA,NA,11.6557333,4.4278304,37.9884329,83.57500321,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404101,"Alameda",6001,NA,NA,7.1004067,2.3996381,33.7957833,66.93186193,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404102,"Alameda",6001,NA,NA,10.5050868,5.8910158,56.0777458,80.88027717,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404200,"Alameda",6001,NA,NA,28.9136372,4.2492892,14.6964881,95.99640703,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404300,"Alameda",6001,NA,NA,21.677595,2.9532324,13.6234321,93.55832157,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404400,"Alameda",6001,NA,NA,44.952466,4.6811702,10.4136004,98.52431669,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404501,"Alameda",6001,NA,NA,49.0578998,6.6878702,13.6326061,98.87078147,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404502,"Alameda",6001,NA,NA,53.0109809,3.6299313,7.725063,99.11459002,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404600,"Alameda",6001,NA,NA,59.9727652,3.4658679,8.6587744,99.61503914,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404700,"Alameda",6001,NA,NA,40.4665407,7.6043834,18.7917802,98.02386757,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404800,"Alameda",6001,NA,NA,19.3852532,4.5475209,23.4586611,92.2751187,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001404900,"Alameda",6001,NA,NA,10.5921174,2.0533825,19.3859494,81.14974978,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405000,"Alameda",6001,NA,NA,25.880491,4.6253282,17.871872,95.21365328,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405100,"Alameda",6001,NA,NA,31.7305773,4.0992483,12.9189212,96.68933658,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405200,"Alameda",6001,NA,NA,7.6157814,2.1151348,27.7730502,69.79340434,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405301,"Alameda",6001,NA,NA,5.6775729,3.2207243,56.727132,55.83215706,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405302,"Alameda",6001,NA,NA,4.3037679,3.0056998,69.8387974,38.1239574,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405401,"Alameda",6001,NA,NA,4.3446662,1.712675,39.4201752,38.97087129,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405402,"Alameda",6001,NA,NA,4.7351477,1.9260656,40.6759341,45.42538175,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405500,"Alameda",6001,NA,NA,6.1508436,1.9801254,32.1927447,60.22071089,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405600,"Alameda",6001,NA,NA,8.8687856,3.1790929,35.845865,75.79879379,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405700,"Alameda",6001,NA,NA,7.734701,2.7055271,34.9790782,70.56332606,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405800,"Alameda",6001,NA,NA,6.1308573,2.2615772,36.8884339,60.00256641,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405901,"Alameda",6001,NA,NA,5.1791514,1.5269113,29.4818815,50.90465803,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001405902,"Alameda",6001,NA,NA,6.7810852,1.9128491,28.2085991,64.75041704,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406000,"Alameda",6001,NA,NA,3.1964282,1.6654171,52.1024389,16.83562171,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406100,"Alameda",6001,NA,NA,2.9980844,1.1317969,37.7506679,13.82009496,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406201,"Alameda",6001,NA,NA,4.498534,1.9647234,43.6747485,41.78108559,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406202,"Alameda",6001,NA,NA,4.567929,2.5861946,56.6163493,42.7691518,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406300,"Alameda",6001,NA,NA,9.0864109,2.7056567,29.7769574,76.64570769,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406400,"Alameda",6001,NA,NA,15.5764601,4.478148,28.749459,89.32375209,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406500,"Alameda",6001,NA,NA,6.8801875,2.0972551,30.4825286,65.50750674,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406601,"Alameda",6001,NA,NA,5.8255918,1.8952775,32.5336469,57.20518414,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406602,"Alameda",6001,NA,NA,5.7070083,2.5627389,44.9051192,56.1144617,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406700,"Alameda",6001,NA,NA,13.9953401,3.3595557,24.0048163,87.38611574,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406800,"Alameda",6001,NA,NA,9.9459496,2.2201962,22.3226168,79.32760169,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001406900,"Alameda",6001,NA,NA,8.0127414,4.036137,50.3714865,72.19299371,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407000,"Alameda",6001,NA,NA,4.7654222,1.7131165,35.9488919,45.8488387,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407101,"Alameda",6001,NA,NA,6.5722126,3.2259375,49.0844977,63.42871808,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407102,"Alameda",6001,NA,NA,6.5045413,2.1980484,33.7925201,63.03092519,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407200,"Alameda",6001,NA,NA,4.1253796,1.6006607,38.8003255,34.87745413,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407300,"Alameda",6001,NA,NA,2.7382668,1.6546147,60.4256201,10.6249198,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407400,"Alameda",6001,NA,NA,4.0314982,1.7287364,42.8807429,33.06813807,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407500,"Alameda",6001,NA,NA,4.263735,1.9566591,45.89073,37.22571539,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407600,"Alameda",6001,NA,NA,7.4194491,1.8039407,24.3136751,68.75401001,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407700,"Alameda",6001,NA,NA,5.9340533,1.4169827,23.8788327,58.32157064,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407800,"Alameda",6001,NA,NA,20.2834448,5.3224925,26.2405748,92.78839985,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001407900,"Alameda",6001,NA,NA,15.4476534,3.0472623,19.7263767,89.22109586,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408000,"Alameda",6001,NA,NA,25.4671598,6.4413785,25.2928814,95.05966893,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408100,"Alameda",6001,NA,NA,29.4105476,4.4544372,15.1457132,96.16322341,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408200,"Alameda",6001,NA,NA,11.9857789,3.0318171,25.2951196,84.2422687,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408300,"Alameda",6001,NA,NA,12.3394051,2.3989821,19.4416347,84.83254202,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408400,"Alameda",6001,NA,NA,5.0109693,1.6702664,33.3322025,48.81303734,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408500,"Alameda",6001,NA,NA,4.4435662,1.5647448,35.2137172,40.7160272,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408600,"Alameda",6001,NA,NA,4.8236295,1.4662419,30.3970679,46.56743231,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408700,"Alameda",6001,NA,NA,4.3591498,1.2331387,28.2885129,39.27883998,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408800,"Alameda",6001,NA,NA,3.6885219,1.5763085,42.7355061,26.62645964,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001408900,"Alameda",6001,NA,NA,3.8394525,2.1841375,56.8866925,29.65481843,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409000,"Alameda",6001,NA,NA,3.9775993,1.4971428,37.6393572,32.08007186,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409100,"Alameda",6001,NA,NA,3.8306503,2.2286696,58.1799271,29.43667394,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409200,"Alameda",6001,NA,NA,3.8219402,3.167068,82.8654503,29.32118568,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409300,"Alameda",6001,NA,NA,4.0086887,1.5317716,38.2112881,32.47786475,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409400,"Alameda",6001,NA,NA,3.8637926,1.4640785,37.8922656,30.0911074,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409500,"Alameda",6001,NA,NA,3.6848018,1.5110502,41.0076391,26.57513153,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409600,"Alameda",6001,NA,NA,4.2031373,1.2362633,29.4128696,36.26331323,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409700,"Alameda",6001,NA,NA,4.4724519,2.164135,48.3881107,41.39612473,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409800,"Alameda",6001,NA,NA,13.7508918,4.2965999,31.2459725,87.06531503,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001409900,"Alameda",6001,NA,NA,27.7431616,4.18829,15.0966571,95.73976646,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001410000,"Alameda",6001,NA,NA,19.8617744,4.2871738,21.5850494,92.50609521,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001410100,"Alameda",6001,NA,NA,5.6710146,1.9304613,34.0408458,55.72950083,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001410200,"Alameda",6001,NA,NA,4.5235192,1.7929376,39.6359011,42.15321442,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001410300,"Alameda",6001,NA,NA,4.3057473,1.6401615,38.0923773,38.2137816,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001410400,"Alameda",6001,NA,NA,4.1405947,1.451027,35.0439282,35.21108687,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001410500,"Alameda",6001,NA,NA,4.3039924,2.6624898,61.8609328,38.13678943,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001420100,"Alameda",6001,NA,NA,5.5040054,1.9771093,35.9212823,54.20248941,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001420200,"Alameda",6001,NA,NA,4.9038304,1.7874284,36.4496379,47.52983447,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001420300,"Alameda",6001,NA,NA,22.5846939,9.39274,41.5889631,93.87912229,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001420400,"Alameda",6001,NA,NA,5.8847301,4.9351906,83.8643494,57.84678558,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001420500,"Alameda",6001,NA,NA,4.87161,2.3395891,48.0249675,47.02938535,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001420600,"Alameda",6001,NA,NA,6.2474415,1.9753452,31.6184671,61.10612088,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421100,"Alameda",6001,NA,NA,37.1017784,4.3370443,11.689586,97.52341845,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421200,"Alameda",6001,NA,NA,40.2558015,3.2364242,8.0396466,97.99820352,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421300,"Alameda",6001,NA,NA,18.7752289,2.319671,12.3549548,91.95431798,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421400,"Alameda",6001,NA,NA,35.6849556,5.2054651,14.587282,97.26677788,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421500,"Alameda",6001,NA,NA,48.4171306,3.5493126,7.3306959,98.80662133,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421600,"Alameda",6001,NA,NA,43.1116152,3.794782,8.8022264,98.35750032,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421700,"Alameda",6001,NA,NA,14.8748332,3.0528016,20.5232663,88.60515848,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421800,"Alameda",6001,NA,NA,11.402545,3.2371644,28.3898408,83.04889003,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001421900,"Alameda",6001,NA,NA,6.2079244,1.6754259,26.9885041,60.68266393,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422000,"Alameda",6001,NA,NA,4.6846648,2.1638646,46.1903823,44.66829206,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422100,"Alameda",6001,NA,NA,4.786052,1.7432432,36.4234067,46.11831131,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422200,"Alameda",6001,NA,NA,5.3462395,1.7923071,33.5246316,52.73963814,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422300,"Alameda",6001,NA,NA,7.4169504,2.4151757,32.5629213,68.70268189,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422400,"Alameda",6001,NA,NA,6.3015108,2.508004,39.8000434,61.52957783,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422500,"Alameda",6001,NA,NA,18.062673,3.8553088,21.3440655,91.4282048,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422700,"Alameda",6001,NA,NA,17.8925951,3.8297448,21.4040768,91.32554857,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001422900,"Alameda",6001,NA,NA,4.1216291,2.1503098,52.1713563,34.80046195,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423000,"Alameda",6001,NA,NA,8.5767769,2.1880942,25.5118468,74.74656743,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423100,"Alameda",6001,NA,NA,6.0315291,2.2009298,36.4904112,59.24547671,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423200,"Alameda",6001,NA,NA,5.0161986,2.3397182,46.6432536,48.86436546,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423300,"Alameda",6001,NA,NA,4.6889246,1.6217331,34.5864614,44.7324522,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423400,"Alameda",6001,NA,NA,5.782311,1.8193282,31.4636856,56.80739125,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423500,"Alameda",6001,NA,NA,5.2741816,1.9967954,37.8598148,51.86706018,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423601,"Alameda",6001,NA,NA,13.0279292,3.5415296,27.1841326,85.98742461,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423602,"Alameda",6001,NA,NA,8.7843843,3.2762814,37.2966535,75.52932119,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423700,"Alameda",6001,NA,NA,23.7598935,4.0659822,17.1127964,94.28974721,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001423800,"Alameda",6001,NA,NA,34.4340639,3.9349319,11.4274398,97.11279353,"HCI/National Land Cover Database","Wed06Dec17",""
