"indicator","reportyear","FIPS","County_Name","County_FIPS","supermkts_d","supermkts_n","supermkts_pct","supermkts_se_pct","supermkts_rse","supermkts_pctile","source","version","notes"
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406100,"Alameda",6001,4381,4381,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406201,"Alameda",6001,4649,3652.188398,78.5585803,0.601926979,2.807309344,70.64031823,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406202,"Alameda",6001,4718,4718,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406300,"Alameda",6001,4113,3857.562291,93.78950378,0.376323132,6.059469635,81.0727576,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406400,"Alameda",6001,2145,2144.727783,99.98730923,0.024322195,191.6526488,88.24586167,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406500,"Alameda",6001,5930,5859.52148,98.81149208,0.140726998,11.84064449,85.70511998,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406601,"Alameda",6001,4596,2557.532636,55.64692419,0.732811783,1.652223142,55.11356345,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406602,"Alameda",6001,2493,2486.096336,99.72307805,0.105248372,38.00651167,87.1423072,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406700,"Alameda",6001,5048,2431.945144,48.17640935,0.703268704,1.459778163,49.45463878,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406800,"Alameda",6001,3428,3341.40734,97.47395976,0.2680057,10.60971615,84.25510073,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406900,"Alameda",6001,3719,3189.41047,85.75989432,0.57304092,4.024133901,75.87578596,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407000,"Alameda",6001,5885,1724.912484,29.31032258,0.593355627,2.024391323,35.55755165,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407101,"Alameda",6001,3414,3407.944473,99.82262662,0.072015662,40.601167,87.4117798,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407102,"Alameda",6001,4351,3043.823759,69.95687794,0.695013434,2.31338618,64.87873733,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407200,"Alameda",6001,6746,6746,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407300,"Alameda",6001,2598,997.393281,38.39081143,0.954150356,2.485361264,42.3200308,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407400,"Alameda",6001,3954,3844.005586,97.21814835,0.261530487,9.40130964,84.12678044,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407500,"Alameda",6001,3931,3919.620238,99.71051229,0.085690764,29.60083008,87.07814706,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407600,"Alameda",6001,6027,2027.329377,33.63745441,0.608586737,1.809253251,38.72706275,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407700,"Alameda",6001,4109,1578.961387,38.42690161,0.758831093,1.974739209,42.34569485,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407800,"Alameda",6001,2425,8e-06,3.3e-07,0.000116636,35355.33905,6.300526113,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001407900,"Alameda",6001,2706,293.640256,10.8514507,0.597911828,5.509971382,21.66046452,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408000,"Alameda",6001,2671,1890.684068,70.78562589,0.879901154,3.011877478,65.28936225,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408100,"Alameda",6001,5991,237.42611,3.963046403,0.252048494,6.359968272,16.39933273,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408200,"Alameda",6001,4054,2127.536845,52.47994191,0.784319986,1.650503004,52.59848582,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408300,"Alameda",6001,4167,574.553652,13.78818459,0.534103212,3.873629687,23.88040549,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408400,"Alameda",6001,3323,2912.00925,87.6319365,0.571106216,4.617587998,77.05633261,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408500,"Alameda",6001,4972,2005.879231,40.34350827,0.695745051,1.724552675,43.59040164,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408600,"Alameda",6001,5492,3925.232788,71.4718279,0.609311189,2.135822747,65.8026434,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408700,"Alameda",6001,7207,6537.021485,90.70378083,0.342049225,3.679444504,79.04529706,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408800,"Alameda",6001,5547,1566.19522,28.23499585,0.604395383,2.140589595,34.81329398,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001408900,"Alameda",6001,3414,613.957568,17.98352572,0.657288766,3.654949405,27.01142051,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409000,"Alameda",6001,3552,414.855797,11.67949879,0.538897771,4.614048773,22.31489799,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409100,"Alameda",6001,2255,0,0,0,NA,2.399589375,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409200,"Alameda",6001,3152,7.940372,0.251915355,0.089286644,35.44311288,11.35634544,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409300,"Alameda",6001,5229,4393.535749,84.02248517,0.506690842,3.171274429,74.36160657,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409400,"Alameda",6001,4306,4229.419859,98.22154805,0.201412974,11.32518504,85.01219043,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409500,"Alameda",6001,3122,2965.00626,94.97137282,0.39111514,7.777771668,82.04799179,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409600,"Alameda",6001,5063,4414.615938,87.19367842,0.469624491,3.66713024,76.68420377,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409700,"Alameda",6001,4696,166.807214,3.552112734,0.270100685,7.603944615,16.05286796,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001409800,"Alameda",6001,2887,1.136753,0.039374887,0.036923321,93.77378097,10.15013474,"USDA_FARA2017","Wed06Dec17",""
